clipname,namefirst,namelast,setting,ppl,sessionname,sessionnotes,startdate,name,id,latlng
Scenes from Jazz Fest,Kevin,"Harris
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,10,"32.6410, -90.3648"
Scenes from Jazz Fest,Kevin,"Harris
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,11,"29.9511, -90.0715"
Scenes from Jazz Fest,Jennell,"Marshall
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,12,"32.6410, -90.3648"
Scenes from Jazz Fest,Jennell,"Marshall
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,13,"29.9511, -90.0715"
Scenes from Jazz Fest,Greg,"Davis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,14,"32.6410, -90.3648"
Scenes from Jazz Fest,Greg,"Davis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,15,"29.9511, -90.0715"
Zulu Social Aid & Pleasure Club at Jazz Fest,"""Brother""","Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,16,"32.6410, -90.3648"
Zulu Social Aid & Pleasure Club at Jazz Fest,"""Brother""","Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,17,"29.9511, -90.0715"
Zulu Social Aid & Pleasure Club at Jazz Fest,Ephram,"Towns
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,18,"32.6410, -90.3648"
Zulu Social Aid & Pleasure Club at Jazz Fest,Ephram,"Towns
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,19,"29.9511, -90.0715"
Zulu Social Aid & Pleasure Club at Jazz Fest,Benny,"Jones
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,20,"32.6410, -90.3648"
Zulu Social Aid & Pleasure Club at Jazz Fest,Benny,"Jones
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,21,"29.9511, -90.0715"
Zulu Social Aid & Pleasure Club at Jazz Fest,Kurt,"Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,22,"32.6410, -90.3648"
Zulu Social Aid & Pleasure Club at Jazz Fest,Kurt,"Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,23,"29.9511, -90.0715"
Zulu Social Aid & Pleasure Club at Jazz Fest,Roger,"Lewis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,24,"32.6410, -90.3648"
Zulu Social Aid & Pleasure Club at Jazz Fest,Roger,"Lewis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,25,"29.9511, -90.0715"
Zulu Social Aid & Pleasure Club at Jazz Fest,Kevin,"Harris
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,26,"32.6410, -90.3648"
Zulu Social Aid & Pleasure Club at Jazz Fest,Kevin,"Harris
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,27,"29.9511, -90.0715"
Zulu Social Aid & Pleasure Club at Jazz Fest,Jennell,"Marshall
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,28,"32.6410, -90.3648"
Zulu Social Aid & Pleasure Club at Jazz Fest,Jennell,"Marshall
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,29,"29.9511, -90.0715"
Zulu Social Aid & Pleasure Club at Jazz Fest,Greg,"Davis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,30,"32.6410, -90.3648"
Zulu Social Aid & Pleasure Club at Jazz Fest,Greg,"Davis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,31,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (I),"""Brother""","Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,32,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (I),"""Brother""","Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,33,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (I),Ephram,"Towns
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,34,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (I),Ephram,"Towns
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,35,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (I),Benny,"Jones
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,36,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (I),Benny,"Jones
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,37,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (I),Kurt,"Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,38,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (I),Kurt,"Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,39,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (I),Roger,"Lewis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,40,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (I),Roger,"Lewis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,41,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (I),Kevin,"Harris
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,42,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (I),Kevin,"Harris
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,43,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (I),Jennell,"Marshall
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,44,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (I),Jennell,"Marshall
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,45,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (I),Greg,"Davis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,46,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (I),Greg,"Davis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,47,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (II),"""Brother""","Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,48,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (II),"""Brother""","Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,49,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (II),Ephram,"Towns
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,50,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (II),Ephram,"Towns
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,51,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (II),Benny,"Jones
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,52,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (II),Benny,"Jones
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,53,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (II),Kurt,"Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,54,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (II),Kurt,"Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,55,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (II),Roger,"Lewis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,56,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (II),Roger,"Lewis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,57,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (II),Kevin,"Harris
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,58,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (II),Kevin,"Harris
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,59,"29.9511, -90.0715"
Jazz Fest parade with Dirty Dozen Brass Band (II),Jennell,"Marshall
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,60,"32.6410, -90.3648"
Jazz Fest parade with Dirty Dozen Brass Band (II),Jennell,"Marshall
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,61,"29.9511, -90.0715"
